date,av_eurusd_close
2016-12-28,1.04178
2016-12-27,1.04588
2016-12-26,1.04547
2016-12-23,1.04460
2016-12-22,1.04349
2016-12-21,1.04265
2016-12-20,1.03903
2016-12-19,1.04017
2016-12-16,1.04492
2016-12-15,1.04200
2016-12-14,1.05277
2016-12-13,1.06250
2016-12-12,1.06393
2016-12-09,1.05578
2016-12-08,1.06132
2016-12-07,1.07571
2016-12-06,1.07178
2016-12-05,1.07580
2016-12-02,1.06608
2016-12-01,1.06589
2016-11-30,1.05962
2016-11-29,1.06481
2016-11-28,1.06133
2016-11-25,1.05892
2016-11-24,1.05559
2016-11-23,1.05511
2016-11-22,1.06271
2016-11-21,1.06309
2016-11-18,1.05841
2016-11-17,1.06261
2016-11-16,1.07013
2016-11-15,1.07238
2016-11-14,1.07442
2016-11-11,1.08519
2016-11-10,1.08850
2016-11-09,1.09187
2016-11-08,1.10130
2016-11-07,1.10433
2016-11-04,1.11450
2016-11-03,1.11040
2016-11-02,1.10978
2016-11-01,1.10559
2016-10-31,1.09719
2016-10-28,1.09810
2016-10-27,1.08946
2016-10-26,1.09081
2016-10-25,1.08896
2016-10-24,1.08712
2016-10-21,1.08838
2016-10-20,1.09275
2016-10-19,1.09782
2016-10-18,1.09785
2016-10-17,1.10022
2016-10-14,1.09660
2016-10-13,1.10535
2016-10-12,1.10126
2016-10-11,1.10593
2016-10-10,1.11402
2016-10-07,1.12000
2016-10-06,1.11456
2016-10-05,1.12065
2016-10-04,1.12048
2016-10-03,1.12138
2016-09-30,1.12403
2016-09-29,1.12231
2016-09-28,1.12168
2016-09-27,1.12170
2016-09-26,1.12520
2016-09-23,1.12260
2016-09-22,1.12101
2016-09-21,1.11898
2016-09-20,1.11531
2016-09-19,1.11781
2016-09-16,1.11566
2016-09-15,1.12476
2016-09-14,1.12428
2016-09-13,1.12140
2016-09-12,1.12384
2016-09-09,1.12250
2016-09-08,1.12645
2016-09-07,1.12418
2016-09-06,1.12443
2016-09-05,1.11481
2016-09-02,1.11520
2016-09-01,1.11947
2016-08-31,1.11606
2016-08-30,1.11475
2016-08-29,1.11867
2016-08-26,1.11950
2016-08-25,1.12849
2016-08-24,1.12639
2016-08-23,1.13034
2016-08-22,1.13195
2016-08-19,1.13250
2016-08-18,1.13454
2016-08-17,1.12947
2016-08-16,1.12770
2016-08-15,1.11850
2016-08-12,1.11623
2016-08-11,1.11392
2016-08-10,1.11854
2016-08-09,1.11149
2016-08-08,1.10844
2016-08-05,1.10810
2016-08-04,1.11283
2016-08-03,1.11491
2016-08-02,1.12190
2016-08-01,1.11665
2016-07-29,1.11750
2016-07-28,1.10775
2016-07-27,1.10576
2016-07-26,1.09886
2016-07-25,1.09929
2016-07-22,1.09750
2016-07-21,1.10263
2016-07-20,1.10100
2016-07-19,1.10179
2016-07-18,1.10744
2016-07-15,1.10261
2016-07-14,1.11125
2016-07-13,1.10982
2016-07-12,1.10632
2016-07-11,1.10597
2016-07-08,1.10490
2016-07-07,1.10598
2016-07-06,1.10944
2016-07-05,1.10614
2016-07-04,1.11455
2016-07-01,1.11350
2016-06-30,1.10990
2016-06-29,1.11230
2016-06-28,1.10725
2016-06-27,1.10103
2016-06-24,1.11148
2016-06-23,1.13750
2016-06-22,1.13308
2016-06-21,1.12576
2016-06-20,1.13147
2016-06-17,1.12790
2016-06-16,1.12312
2016-06-15,1.12618
2016-06-14,1.12092
2016-06-13,1.12902
2016-06-10,1.12484
2016-06-09,1.13136
2016-06-08,1.13999
2016-06-07,1.13550
2016-06-06,1.13550
2016-06-03,1.13627
2016-06-02,1.11521
2016-06-01,1.11840
2016-05-31,1.11315
2016-05-30,1.11417
2016-05-27,1.11087
2016-05-26,1.11928
2016-05-25,1.11561
2016-05-24,1.11398
2016-05-23,1.12164
2016-05-20,1.12191
2016-05-19,1.12021
2016-05-18,1.12233
2016-05-17,1.13129
2016-05-16,1.13138
2016-05-13,1.13050
2016-05-12,1.13784
2016-05-11,1.14230
2016-05-10,1.13715
2016-05-09,1.13829
2016-05-06,1.13991
2016-05-05,1.14027
2016-05-04,1.14890
2016-05-03,1.14989
2016-05-02,1.15257
2016-04-29,1.14485
2016-04-28,1.13526
2016-04-27,1.13266
2016-04-26,1.12990
2016-04-25,1.12673
2016-04-22,1.12153
2016-04-21,1.12876
2016-04-20,1.13012
2016-04-19,1.13566
2016-04-18,1.13082
2016-04-15,1.12936
2016-04-14,1.12625
